Context				Score on Rubric and Note	Content of Note					Score on Rubric and Note
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	/			Don't use / instead use or		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Active first person			Per APA- you want to be as clear as possible, writing in active sentences and first-person when it makes it more clear.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Overall Good				Overall good!	
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Missing citations			There were still some citations in the wrong places.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Paragraphs are 4-7 sentences			Some two sentence paragraphs.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	/			Use of /		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Use keywords			Be sure to repeat key words and maybe parts of the prompt for complete sentences and end a sentence with a period.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar				Copy and paste the reference from my syllabus its not formatted correctly. Educational Psychology should be italicized. And References should be bold.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	APA Format/Spelling & Grammar	Plagairism			The 3 words in a row rule are there as a minimum. Please try to say this in your own words. "Schemes are how we organize and think about things." When you just try to change one word in every three words you are bound to accidentally copy too much.		
EDF 4210 Educational Psychology	2275	Video Case Study	Any	APA Format/Spelling & Grammar	APA Paragraph Citations			Start with the source of this information- Cite something like "According to Woolfolk (2019) Brofenbrenner... Only need to cite these definition paragraphs once per paragraph at the top. 		
EDF 4210 Educational Psychology	2275	Video Case Study	N/A	APA Format/Spelling & Grammar					Good work here. See comments so you don't lose points in future assignments.	
EDF 4210 Educational Psychology	2275	Video Case Study	Babies	Application of Bronfenbrenner's Bioecological Model to Film	Bronfenbrenner Microsystem			How does Eric affect his microsystem? Maybe if he has a fit?		
EDF 4210 Educational Psychology	2275	Video Case Study	Freedom Writers	Application of Bronfenbrenner's Bioecological Model to Film	Bronfenbrenner Target Individual			Technically I'd like you to choose a student. Because we are typically interested in the student's development. But you can see the teacher's development too.		
EDF 4210 Educational Psychology	2275	Blog 1	N/A	Application of the theory, theory components to learning experience				Next time I want you to apply your learning experience as well as the CSLPA to operant conditioning specifically two of the +/- reinforcers or punishments. 		
EDF 4210 Educational Psychology	2275	Any	N/A	Assignment Comments					This was a good submission. I can tell you put effort into this assignment. See comments to clarify a few things you were missing. Otherwise, keep up the good work!	
EDF 4210 Educational Psychology	2275	Any	N/A	Assignment Comments					Great work on this. See comments in the document and rubric for further improvement.	
EDF 4210 Educational Psychology	2275	Blog	N/A	Assignment Comments	Blog Extra Credit			Also, you can earn up to 3 extra credit points total across all blogs. So you can earn up to .5 more points per blog that included a positive thing they did (being specific like "great definition of behaviorism") and a specific example of improvement (e.g., "I liked your example of operant conditioning it could have been improved with explanations of punishment and reinforcement."). Also please comment on someone who has not already received a comment (spread the joy).		
EDF 4210 Educational Psychology	2275	Blog	N/A	Assignment Comments					Thank you for submitting this assignment! You did very good. Please see comments in the rubric for further improvement on future assignments and the CSLPA.	
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Assignment Comments	Plagairism 			I cannot grade this. I tried but the task is for you to write in your own words the definitions. Not copy what I wrote on the slides and change every third word. Eventually you are bound to make a mistake and copy three words in a row. I stopped grading at Vygostky when you copied more than three words in a row.   When  you copy what I wrote and just change a few words around it also makes me work 2x harder because now I have to read my own notes to verify you did not copy vs. me just checking to see if you understand the material.  I put a 0 to grab your attention and provide you with an opportunity to  resubmit the assignment. You can still earn full credit. I am sure this  was not intentional and I don't mean to upset you. I want you to be the  best student you can be. Therefore, if you need help or want to talk  about this please let me know. Please also check your other assignments like the Video Case Study and Blog 1 to make sure you did not make the same mistake with the other definitions. You can resubmit via replying in a comment below.   Thanks, James		
EDF 4210 Educational Psychology	2275	CSLPA Peer Review	N/A	Assignment Comments	Giving feedback to section 1			Thank you for taking the time to provide comments to your peers. You only needed to write comments for the motivational theories section. I do appreciate the compassionate tone in your comments. Please go back to your peers' feedback because I made comments to yours to further clarify. Those clarifications could help you on your paper.		
EDF 4210 Educational Psychology	2275	CSLPA Section 2 Draft	N/A	Assignment Comments					Good faith effort on this assignment. Your grade is based on you trying, not necessarily what you will get on the final paper. Please review your peers' comments. If I have not added a comment to your peers' comments, that means I approve of those comments. If I did write a comment it is because your peer's comment may be incorrect or need additional clarification.	
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Attribution Theory	Missing definition and application were not sufficient			Missing definition of components (mentioning the scale is not a sufficient definition). Not all the application of components were accurate. The first examples were and then the second examples got a bit confusing.		-2.5
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Behaviorism	incomplete/inaccurate definition			Good improvements but operant conditioning's definition was still not quite complete/accurate and the application of did not explain what was being added as a reward for what behavior.		-2.5
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Behaviorism	Don't use classical conditioning			Technically I wanted you to apply two concepts from operant conditioning not classical- because although this is a good example, its more contiguity and not classical- because there isn't a unconditioned response being associated- like salivating etc.		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	N/A	Cognitivism	Order of components			Attention-perception should be between sensory memory and working memory as its during working memory.		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	N/A	Constructivism	Good Definition				Good definition of Constructivism	2
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	N/A	Constructivism	Good definition of components				Great definitions of both Cognitive and Social Constructivism	2
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Solar System	Constructivism	Applied Social Constructivism				Good application of Social Constructivism to a specific event in the Solar System lesson plan.	2
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Constructivism	Missing Application of Cognitive Constructivism			Missing application of the lesson plan to Cognitive Constructivism.		-2
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Solar System	Constructivism	Be Explicit		Solar System	Be explicit about which component of Constructivism you are applying to this lesson plan. For example, state that "The [Solar System] lesson plan includes Social Constructivism. For example..."	This is a good start	
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Criticism of Theories				This is the same criticism repeated twice. The other critique is that Piaget developed his theories based on a small sample that may not be representative of all populations.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Criticism of Theories	Criticisms are not distinct			Technically these are criticisms of the same problem. Because he had a small sample he did use cultural implications. The other limitation is that people develop at different rates. Also, you don't have to wait for a student to develop before you can expose them to slightly more challenging info.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Criticism of Theories				The other limitation is that Vygotsky may have overemphasized social interactions because you can learn on your own.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Definition of Cognitive Development				Missing the following terms explicitly stated: Social interaction, Cultural tools, Zone of proximal development, Scaffolding 		
EDF 4210 Educational Psychology	2275	Video Case Study	Any	Description of Brofenbrenner's Bioecological Model	Using examples in definition			don't need hypothetical examples. Later you will use examples from the film.		
EDF 4210 Educational Psychology	2275	Blog 1	N/A	Description of the theory components.	Contiguity definition			No need to describe Contiguity. 		
EDF 4210 Educational Psychology	2275	Blog 1	N/A	Description of the theory components.	Classical Conditioning			Please briefly describe classical conditioning  and maybe just say its not often used in classrooms. 		
EDF 4210 Educational Psychology	2275	Blog 1	N/A	Description of the theory components.	Operant Conditioning			The definition of operant conditioning was great. Just be a little more specific that the student desires/does not desire consequence and teacher desires/does not desire the behavior. 		
EDF 4210 Educational Psychology	2275	Blog 1	N/A	Description of the theory components.	Operant Conditioning			Your definition of operant conditioning is good just needs to include the different types of +- reinforcement and punishment in detail explaining who behavior is desired by, and who desires the response. Typically its separate sentences for each.		
EDF 4210 Educational Psychology	2275	Blog 1	N/A	Description of the theory components.	Operant Conditioning			This was close! You accurately used contiguity but its not a key component. Please use Operant conditioning and  explain how learning example is +/- reinforcement or punishment. And this needs to be done for 2-3 different types of consequences.		
EDF 4210 Educational Psychology	2275	Blog 5	N/A	Description of the theory components.	Achievement goal theory components are incorrect			Close on Achievement goal components. You need to explain that there are two  dimensions 1) mastery and performance and 2) approach and avoidance.  Next when you choose a combo of both like you did mastery approach- you  explain the mastery portion but not the approach.		
EDF 4210 Educational Psychology	2275	Blog 5	N/A	Description of the theory components.	approach-oriented goals are incorrect			 Approach-oriented goals goals in which individuals are motivated and wanting to do the activity "approach" the activity.		
EDF 4210 Educational Psychology	2275	Blog 5	N/A	Description of the theory components.	Avoidance-oriented goals definition			Avoidance-oriented goals goals in which individuals can be motivated not to do the activity. They "avoid" the activity maybe because they do not want to try and they avoid failure.		
EDF 4210 Educational Psychology	2275	Video Case Study	Any	Description of Theory (Parenting Styles or Peer Influence)	Peer Influences			First define peer influences. Peer influences are... and cite. and how are peer influences different than parental influences, or how can negative peer influences affect development. Technically you need a paragraph dedicated to peer influences.		
EDF 4210 Educational Psychology	2275	Video Case Study	Any	Description of Theory (Parenting Styles or Peer Influence)	Parenting Styles			What are parenting styles and where is the APA citation to support it. "parenting styles are a theory that says..."		
EDF 4210 Educational Psychology	2275	Video Case Study	Any	Description of Theory (Parenting Styles or Peer Influence)	Parenting Styles and Peer Influence			You need to choose one theory not both.		
EDF 4210 Educational Psychology	2275	Video Case Study	Any	Description of Theory (Parenting Styles or Peer Influence)	Parenting Styles			Start with theory "parenting styles" and cite.		
EDF 4210 Educational Psychology	2275	Video Case Study	Babies	Description of Theory (Parenting Styles or Peer Influence)	Applying Parenting Styles			. In “Love”, psychologists took brain scans of multiple infants, taking specifically into account how responsive and caring each child’s caregivers were. It was found that in children with more neglectful and less responsive parents, they actually had a bigger hippocampus, which indicates they had to manage their own stress and often take part in self-soothing methods.		
EDF 4210 Educational Psychology	2275	Video Case Study	Babies	Description of Theory (Parenting Styles or Peer Influence)	Applying Parenting Styles			Authoritative parenting is exhibited by Anne, who is hesitant and fearful about her children engaging in certain activities, but still allows them the freedom to make the choice themselves. In this instance, Anne allows her children to go ziplining, but under the condition that she is there observing and ensuring that they are safely secure		
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Expectancy-Value Theory	Theory not connected to motivation			Missing expectancy was not connected to students motivation to do the task.		-1
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Information Processing Theory (IPT)	Attention-perception are out of order with memory systems			Attention and perception occur arguably before and during working memory		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Introduction	Missing Key Components			This is a great start. Please tell me what subject and grade is this class and what is the learning objective. You provided the objective of Mr. Johnson but what about what he wants the students to learn?		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Introduction	For Next Draft			For draft 2 you will add a sentence stating you will also analyze using motivational theories and list those too.		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Introduction	Active first person			write in first person and tell me what you are doing in this paper.		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Introduction	Introduction missing key features			Please introduce the name of the lesson plan, the teacher's name, and the subject and grade.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Key Components of the Theories	Schemas			Super close here too. I'd add new scheme and we need to include that new schema into our existing schematic network.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Key Components of the Theories	Equilibration			This is the definition for equilibrium. Equilbration is how to get back to equilibrium.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Key Components of the Theories					Great job on these. See comments for further improvement.	
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Key Components of the Theories	Plagairism			use your own words. How else can you say "cognitive discomfort", confusion? I want you to use main terms but when describing the terms you sometimes want to use your own words. It's a delicate balance.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Key Components of the Theories	ZPD definition			The way this is stated is contradictory. It's easy enough for the student to try, but challenging enough that they need assistance. Just not too challenging where even with assistance they cannot complete the task.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Key Components of the Theories	Same Schema			Yes, and the new info has to be changed to fit existing schema		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Learner's Perspective				Be careful not to write general statements like this. Use the terms. A general rule is if the sentence could be said of any theory it needs to be more specific.		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Learner's Perspective				To provide a specific example, use a subject and topic. Like Math and then adding two digit numbers.		
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Section 3 - Alternative Strategies for ELLs: Theory-Based Suggestions	Missing connection to specific lesson			Suggestion 1 was from the DOE and well applied. Just missing connection to this specific lesson. 3.5/4		-0.5
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Section 3 - Alternative Strategies for ELLs: Theory-Based Suggestions	Suggestion 2 missing connection to specific lesson			Suggestion 2 was from the DOE and well applied. Just missing connection to this specific lesson. 3.5/4		-0.5
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Social Cognitive Theory	Components were not connected to motivation			Missed points because the components were not connected back to motivation.		-1
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Teacher's Role				You don't necessarily want to teach these concepts "at an early age" you want to support the children's understanding of those concepts only when they are ready to learn them (according to Piaget).		
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Teacher's Role	Piaget- teachers stimulate development			I am seeing this misconception in a number of students' assignments. Piaget believed you development occurs regardless of the social transmission. However, social transmission can help the process but not "stimulate" it. Therefore, teachers teach concepts only when students are at the appropriate developmental stage (according to Piaget). In real life, teachers should be aware that some concepts "might" be challenging for students are certain development stages and should be mindful when they are teaching those concepts. But that teachers should not limit their children. 		
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Theory-Based Suggestions	Missing definition of component			Suggestion 1 was missing definition of component		-1
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Theory-Based Suggestions	Improved suggestion 2				Suggestion 2 Good changes	4
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Theory-Based Suggestions	Missing connection to motivation			Suggestion 1 was missing connection back to motivation		-0.5
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Theory-Based Suggestions	Not from a specific component of a theory			Suggestion 2 was not from a specific component of a motivational theory.		-3
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any	Theory-Based Suggestions	Not using two new theory components			The second suggestion needs to be from a different theory. So choose either choose SCT and the variable you haven't discussed like behavior or choose cognitivism and memory system like long-term memory that you did not discuss.		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any		Too many Raul and Anita Examples			Now for section 2 I don't want any examples of Raul and Anita. Save those for the final draft when we discuss strategies for students who speak other languages.		
EDF 4210 Educational Psychology	2275	CSLPA Section 1 Draft	Any		Application of the theory features			Includes three components- the term of the theory- the specific activitiy in the lesson plan, and how the two relate- learning theories- affect learning, motivation theories- affect motivation.		
EDF 4210 Educational Psychology	2275	Any	Any	APA Format/Spelling & Grammar	Citation not in first sentence			Citation should be at the end of the first sentence of each definition paragraphs		
EDF 4210 Educational Psychology	2275	Blog 3	N/A	Definition of Theory	Good Definition of Constructivism				Nice clear and concise definition!	
EDF 4210 Educational Psychology	2275	Blog 3	N/A	Definition of Theory	Constructivism is a philosophy			This is good- just missing Constructivism is a philosophy of learning.		
EDF 4210 Educational Psychology	2275	Any	Any	APA Format/Spelling & Grammar	Citation not inside period.			citations should be inside the period. So, Woolfolk, 2019). 		
EDF 4210 Educational Psychology	2275	Blog 3	N/A	Assignment Comments				You are showing me you know the concepts. Unfortunately, I am not seeing your writing improve nor is your writing allowing me to fully verify your understanding of the material. Please see me if you have questions about my feedback.		
EDF 4210 Educational Psychology	2275	Blog 3	N/A	Description of the theory components.	Great description				Great description of the theory components.	1
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Definition of Theory	Capitalize Theory			Capitalize the name of the theory Social Cognitive Theory.		
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Description of the theory components.	Capitalize Theory			Capitalize the the Triadic Reciprocal Causality model  too. 		
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Description of the theory components.	Missing description of theory components just listed			You need to describe 2/3 components ( personal, environmental, and behavioral) in a sentence each.		-0.75
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Application of the theory, theory components to learning experience	Applied all components to specific learning events				Great job- you provided multiple examples of environmental, behavioral, and personal factors.	2
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Definition of Theory	Capitalize Theory				Great job capitalizing the theory!	
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Definition of Theory	Missing observational learning			This is good but you need to include that the theory is about observational learning too.		-0.25
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Application of the theory, theory components to learning experience	Missing application to correct components			You needed to apply 2/3 components ( personal, environmental, and behavioral) to two separate events.		
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Description of the theory components.	Wrong focus			The Triadic Reciprocal Causality model is all I want you to focus on. 		
EDF 4210 Educational Psychology	2275	Blog 4	N/A	APA Format/Spelling & Grammar	Grammar, APA citations and references were great!				Excellent writing and APA citations and references!	0.5
EDF 4210 Educational Psychology	2275	Blog 4	N/A	Assignment Comments	Growth and changes needed for CSLPA section 1				Great work on this! I am seeing the growth! See comments to include in your CSLPA section 1 draft.	
